,Date,Media,Title,Article,Authenticity
0,0 mins ago,Deccan Chronicle,PM Modi to virtually flag off Vande Bharat train between Secunderabad-Vizag on Sunday,vande bharat express secunderabad vizag flag virtually prime minister narendra modi january park secunderabad railway station heavy security dc imagegandhi hyderabad prime minister narendra modi would virtually flag vande bharat train secunderabad port city visakhapatnam andhra pradesh auspicious occasion makar sankranti sunday union railway minister ashwini vaishnaw union tourism culture minister g kishan reddy telangana governor tamilisai soundararajan would physically present secunderabad railway station inauguration regular service train would start january booking commence saturday railway source say visakhapatnamsecunderabad vande bharat express start would reach secunderabad pm secunderabadvisakhapatnam train start secunderabad pm would reach visakhapatnam pm train stop rajahmundry vijayawada khammam warangal direction south central railway scr release say train comprise ac chair car coaches two executive ac chair car coaches capacity passenger provide fast travel facility two station exclusive reserve sit accommodation say train manufacture indigenous technology equip modern feature enhance comfort train automatic sliding door provide recline seat class rotate seat executive class release say,Real
1,2 hours ago,Business Standard,"PM Modi, EAM Jaishankar extend warm wishes on occasion on Bhogi",prime minister saturday extend greeting occasion bhogi best wish bhogi praying everyone happiness wellbeing pm modi tweet external affairs minister dr bjp president jp nadda extend hearty wish occasion bhogi warm greetings harvest festival makar sankranti magh bihu pongal uttarayan may bring joy prosperity good health everyone external affairs minister say bhogi celebrate first day fourday pongal festival one prominent harvest festival country primarily celebrate telangana andhra pradesh tamil nadu karnataka honour lord indra god rain cloud farmers worship lord indra day also know indran seek blessing good rain bountiful harvest prosperity headline picture report may rework business standard staff rest content autogenerated syndicate feed,Real
2,7 mins ago,The Week,Voice of the Global South Summit: India aims for larger say in global order,attempt balance west eye north india hop rally ‘ south ’ theme twoday virtual voice global south summit “ unity voice unity purpose ” india ’ attempt add another note chorus global order “ india always stand great role develop country determine common future ” prime minister narendra modi say opening statement summit “ century global growth come country south ” modi stress “ humancentric globalisation ’ ’ address “ develop country concern increase fragmentation international landscape say country include africa seven europe latin america caribbean region summit dub success press conference post summit foreign secretary vinay mohan kwatra say “ one thing come across clearly summit need articulate voice global south international institution reform balanced representation develop world ” china invite statement chinese foreign office say india inform beijing consideration plan “ greatly value solidarity cooperation common development develop country ’ ’ chinese foreign ministry statement say asked india inform china summit kwatra choose word carefully say india “ robust cooperation ” member postpandemic world rock conflict ukraine energy food security challenge developing world “ turn page another difficult year saw war conflict terrorism geopolitical tension rise food fertiliser fuel price climatechange driven natural disaster lasting economic impact pandemic ” say beyond turbulence world special summit also come time india president determine strong voice shape world country kwatra say want india carry voice responding question whether forum go big movement non aligned movement kwatra say platform objective practice process membership “ summit dilute way india engage proactively robustly forum whether non aligned movement give current global context felt important u shape platform capture voice global south purposeful meaningful way carry forward international institution include ” say,Fake
3,2 mins ago,India TV News,"Opinion | Ganga river cruise can be a blessing for Bihar, UP, Bengal, Assam",follow u image source india tv aaj ki baat rajat sharma prime minister narendra modi friday flag world long km long river cruise maiden voyage mv ganga vilas cruise german swiss tourist leave varanasi reach dibrugarh assam via bangladesh day modi hop new era cruise tourism would create job opportunity selfemployment say inland waterway develop promote cruise tourism india modi say witness level infrastructure unimaginable year ago also inaugurate rs crore worth project waterway development bihar west bengal assam also open tent city project varanasi cost ganga vilas travel cruise minimum rs lakh per head could go rs lakh per passenger trip vegetarian food serve alcohol allow spa salon gym facility available trip cover nearly tourist destination include world heritage site river bank national park city like patna dhaka kolkata guwahati pm flag cruise several opposition party oppose say would cause job loss fisherman boatman ply river ganga samajwadi party chief akhilesh yadav query happen boatman boat congress describe cruise useless jdu chief lallan singh say state government bihar allow plying good waterway describe cruise waste money modi speech describe river ganga mother india lifeline point migration labourer city locate near ganga due lack job opportunity modi say cruise varanasi new tent city give boost tourism job opportunity samajwadi party chief akhilesh yadav claim present bjp government renovate launch boat purchase rule present new boat launch say modi promise clean river ganga fulfil congress leader jairam ramesh ask modi happen namami gange project ganga river still dirty stag drama like cruise tent city say uttar pradesh chief minister yogi adityanath say government provide cng boat replaced dieselrun boat order stop pollution ganga say landlocked state since seashore nearby product make small town state fail reach foreign shore due lack infrastructure ganga river cruise small artisan benefit sell product international market add fact neither congress samajwadi party ever think ply ganga river cruise modi original idea implement also true luxury cruise create much impact state economy give boost inland waterway link city entire town flourish incoming tourist since work launch modi opposition party bind object boatmen mallah form large vote bank live bank river ganga akhilesh yadav allege cruise gobble job boatman yogi say cruise boon gangaputra child ganga akhilesh yadav know foreign tourist single trip six trip year mean total foreign tourist travel cruise hand lakh tourist visit benares every year cruise gobble job boatman akhilesh learn bihar deputy cm tejashwi yadav welcome cruise say blessing boatman enhance job opportunity improve economy town locate bank ganga foreign tourist know great heritage bihar visit famous historic site tejashwi speak deputy chief minister event speak manner befit position janata dal u chief lallan singh alliance partner speak cruise lallan singh try hard project leader nitish kumar prime ministerial candidate naturally suppose support modi think matter relate development politician rise politics aaj ki baat monday friday pm india number one followed super prime time news show aaj ki baat rajat sharma ke saath launch general elections since inception show redefine india superprime time numerically far ahead contemporary latest india news,Real
4,2 hours ago,Hindustan Times,‘Pained…’: PM Modi after demise of Congress MP who died during Bharat Jodo Yatra,prime minister narendra modi saturday express grief demise congress mp santokh singh chaudhary die follow cardiac arrest bharat jodo yatra punjab saturday morning pm modi say “ remember effort serve people punjab ” “ pained pass away mp shri santokh singh chaudhary ji remember effort serve people punjab condolences family supporter om shanti ” pm modi write tweet pained pass away mp shri santokh singh chaudhary ji remember effort serve people punjab condolences family supporter om shanti — narendra modi narendramodi january according leader opposition punjab assembly partap singh bajwa santokh singh join gandhiled yatra phillaur walk along another mp kerala suddenly collapse rush phagwara civil hospital ambulance declare brought dead last rite perform village sunday also read video congress mp walk rahul gandhi die yatra meanwhile congress mp rahul gandhi visit residence late mp jalandhar offer condolence aggrieve family yatra also suspend hour several leader also condole congress mp demise also read strong pillar congress rahul tribute mp die bharat jodo punjab chief minister bhagwant mann tweet punjabi “ deeply sadden untimely death congress member parliament jalandhar santokh singh chowdhury may god rest soul peace ” delhi chief minister arvind kejriwal say “ saddened hear sudden passing away lok sabha mp jalandhar shri santokh chaudhary ji condolence family may soul rest peace om shanti,Real
5,1 hour ago,Mint,'Pariksha pe Charcha' annual expenditure increased 65% from 2019 to 2022: Report,prime minister narendra modi conduct pariksha pe charcha become ₹ crore event accord late data make available ministry education right information rti application available data suggest spending pariksha pe charcha event double since central government spend ₹ crore pariksha pe charcha part large movement narendra modiled initiative ‘ exam warriors ’ event prime minister india interacts student teacher parent across country share valuable tip take board entrance exam relaxed stress free manner according data ministry education note amount spend hold pariksha pe charcha event high average amount spend maintain government run kendriya vidyalaya kv jawahar navodaya vidyalaya jnv year note kendriya vidyalaya jawahar navodaya vidyalaya receive fund directly central government pariksha pe charcha brainchild prime minister narendra modi hold annually since ahead central board secondary education cbse board examination education ministry reply rti mention pariksha pe charcha event wherein student parent teacher meet prime minister “ discus overcome stress emerge examination order celebrate life utsav edition pariksha pe charcha schedule hold january talkatora indoor stadium new delhi point report careers data provide education ministry show whopping increase central government expenditure expenditure data include spending event include advertisement publicity accommodation ppc kit booking talkatora stadium according report publish careers see central government likely average spends least little ₹ crore year kv jnv however report also show government spend approximate ₹ crore annual pariksha pe charcha event “ expenditure incur ppc average cost run kv jnv corresponding year mark careers report pariksha pe charcha education minister dharmendra pradhan december review ongoing preparation ppc event call deepening expand engagement student parent teacher ppc ministry extend registration pariksha pe charcha till january event total student teacher parent select competition mygov gift ppc kits certificate appreciation director national council educational research development ncert,Fake
6,2 hours ago,Medical Dialogues,"Make India Tobacco-free: FAIMA writes to PM Modi, seeks immediate action",new delhi taking cognizance adverse effect tobacco federation india medical association faima submit letter prime minister narendra modi urge take immediate step make country free burden tobacco controlling tobacco use primordial prevention especially come young population save many million life faima request kindly look matter early possible take immediate step help country become tobaccofree read letter also read health ministry launch report tobacco free film television policy commenting issue deepak kumar vice president faima tell medical dialogues longterm use tobacco increase risk die stroke heart disease core medical fraternity faima member initiate make india tobacco free campaign add hard leave tobacco answer may yes certainly impossible initiative may small impact make definitive even one day tobacco elimination increase life expectancy day doctor association say letter tobacco use one big public health threat country cause almost loses life every year lead loss life also heavy social economic cost public faima also launch campaign educate people ill effect tobacco pointing india second large producer consumer tobacco association far state letter prevalent form tobacco use india smokeless tobacco khaini gutkha paan zarda smoke form tobacco bidi cigarette hookah request control use tobacco every form save population remove public health threat tobaccofree india campaign try make public aware illeffects tobacco initially launch campaign every medical college country later expand public domain say ajay kumar singh national president faima taking plan faima handle issue excessive tobacco consumption another member faima dr manish state start public domain get successful hospitals india take help judiciary bureaucracy politician help,Fake
7,2 hours ago,India TV News,"Bihar: Controversy erupts over RJD poster depicting Nitish Kumar as 'Ram', PM Modi as 'Ravana'",follow u image source india tv bihar controversy erupts rjd poster depict nitish kumar ram pm modi ravana bihar poster controversy fresh controversy erupt poster see outside rashtriya janata dal rjd office bihar capital patna poster put outside former bihar chief minister rjd leader rabri devi residence depict prime minister narendra modi raavankansa controversy snowball two hindu mythology ramayana mahabharata use interpret bharatiya janata party bjp loss victory grand alliance lok sabha election poster depict nitish ram pm modi ravana poster also depict bihar incumbent chief minister nitish kumar lord ramakrishna prime minister narendra modi raavankansa poster divide two row illustrate lord ram defeat ravana ramayana lord krishna defeat kansa mahabharata low portion poster also claim mahagathbandhan leadership nitish kumar defeat pm modiled bjp general election nitish kumarled jd u ditch bjp mention nitish kumarled jd u august ditch bjp join mahagathbandhan grand alliance rjd congress left according report nitish unhappy bjp since lok sabha election party offer single berth narendra modiled cabinet centre also read speak truth stand bihar education minister row ramcharitmanas remark latest india news,Fake
8,1 hour ago,Udayavani,Kalaburagi: Modi to visit on Jan 19; Preparations underway,kalaburagi modi visit jan preparations underway team udayavani jan pm ist kalaburagi preparations underway prime minister narendra modi ’ visit kalaburagi january visit modi distribute property document resident ‘ tandas ’ makeshift house scsts village mega event malkhed first time history karnataka document distribute tanda resident beneficiary choose hyderabadkarnataka region district raichur bidar yadgir vijayapura accord revenue department official state minister revenue r ashoka hold series meeting official kalaburagi make impactful event huge helipad construct event cook depute cook food counter open day event beneficiary bring bus accord minister kalaburagi home turf aicc president mallikarjuna kharge defeat last parliamentary election want prove might upcoming state assembly poll karnataka ’ rule bjp want defeat plan kalaburagi entire northern region state ians input,Real
9,1 hour ago,The Wire,Backstory: How Gautam Adani Became ‘the Story’ for the Media,watching gautam adani seat witness box rajat sharma ’ ‘ aap ki adalat ’ january immediately recall similar performance similar setting stag political benefactor prime minister narendra modi nine year earlier april set amidst fawning cheer clap audience televise extravaganza different way brand exercise modi instance literally crowning prime ministerial aspirant prime minister even country vote adani case anoint business man personal net worth billion accord forbes data country ’ midas taken together represent confluence money political power medium presence contribute reinforce reach hidden formula rajat sharma ask adani reply deliver straight face “ mehnat mehnat mehnat hard work hard work hard work ” one twitter user put answer rightly “ modi modi modi ” modi year power see adani ’ wealth rise time fact arrangement give name rightly term mediainfused crony capitalism year ago communication professor author robert mcchesney along colleague john nichols come word characterise political economy us ‘ dollarocracy ’ – “ rule money rather rule people ” time come seem u recognise india ‘ rupeeocracy ’ democracy form substance impressive line medium institution journalism phenomenon could term ‘ ambdani ’ – medium capture two rich corporate house country – look set drain medium pond modest though always political thinker jairus banaji recent piece title ‘ indian big business ’ make interesting classification indian business today large business houses traditional type first wave entity consolidate finally group term ‘ new capitalists ’ last category banaji posit “ fervent supporter prime minister modi ” include ambanis adani sunil mittal airtel anil agarwal vedanta hindujas sudhir mehta torrent group well small one like business medium tycoon subhash chandra connection include political funding electoral bond group see total debt level jump five time last half decade account bank loan country fact “ bank appear high exposure groups ” constitute banaji observe political economy allow capitalist move far ahead others leverage influence decisionmakers precisely medium holding corporates play invaluable role help amplify aggregate presence influence policy mukesh ambani discover formally anoint medium mogul acquire raghav bahl ’ network media investments ltd rs gautam adani follow come three national channel virtue acquire stake ndtv ravish kumar former senior executive editor ndtv india resign post soon adani acquisition move make public see come together ‘ godi medium ’ medium perch lap power wielders ‘ godi seth ’ corporates close government also read adani threatens media defamation suits giving lecture press freedom ravish kumar man world ’ coal king view recent acquisition ndtv interview india today television adani swear interfere operation “ editorial independence ndtv credible independent global network lakshman rekha management editorial ” go counsel patience part sceptic give u time say “ proof pudding eating ” take long pudding reveal true ingredient timeline tell india today piece write december december adani group announce majority stake ndtv january note earlier ‘ aap ki adalat ’ session long ndtv put adani ’ thought broadcast programme important news extremely conspicuous among excerpt highlight ringing exoneration modi ’ manner work “ want tell never get personal help modiji speak policy national interest policy frame adani group ” ndtv website carry story title ‘ business states bjp gautam adani ’ small disclaimer end “ new delhi television subsidiary amg media networks limited adani group company ” year adani prefer act journalist rather reveal mind major dealing medium early era constitute file slapp strategic lawsuit public participation suit medium house dare report negatively many business punish individually well send message others nurse similar ambition desist come grief recent shower publicity man anchor often refer faux intimacy “ gautam bhai ” logic one wise person observe publicity like drug – need large large dos get kick adani group adanionline put tidbit information build public persona one recent one say “ chairman gautamadani address student palanpur vidyamandir banaskantha gujarat share childhood memory speak journey day struggle learning vision inspire dream big make india proud ” regret quit formal schooling deem news outlet great national import taking leaf prime minister ’ book talk indian exceptionalism role create nation “ one stop india ” reveal ‘ aap ki adalat ’ audience draw wild applause building nation far important anything else tell raj chengappa india today group word country ’ rich man slat country ’ patriotic well image creation ndtv branding add efficiency process possibly take new height § nipping source bud sources literally source journalism important story medium break across age principle news something someone somewhere want publish usually happen case someone usually person great influence power capacity perpetrate great damage actually put information public sphere ’ come crux confidentiality source intrinsic great journalism important news break across world whether watergate us bofors close home begin information supply anonymous source political establishment always attempt curtail even cut journalist ’ link source two decade ago vajpayee government promulgate prevention terrorism ordinance later become act one section allow “ anyone possess information relevant possible commission terrorist act ‘ fail ’ disclose ” could arrest journalists interview deem “ terrorist ” “ terrorist sympathiser ” thus compel proactively reveal source face imprisonment police duly empower extract information potopota withdraw upa come power bad feature safely transfer notorious unlawful activities prevention act thing stand clear law protect journalist ’ right source confidentiality gap police exploit harass medium reveal source story recent example manner bengaluru police threaten g mahantesh founder editor file police action story make use alleged leak file note journalist community outrage attempt stop genuine investigative story mahantesh touch upon nub matter public statement “ attempt threaten whistleblower officer inside system harass journalist time ” earlier leak document fit definition official secret could criminalise department become paperless leaked document ask misuse cybercrime law ’ time average indian understand dangerous implication attempt control information flow § readers write back… good wish wire jayaram bengaluru “ hope dust wire ’ recent trouble settle merely wish say donkeys ’ year copyeditor fastpaced news agency desk well factchecker proofreader reporterforeign correspondent translator includeds painstaking factchecking writer … continue intermittently active many role write book article journal … know mistake slip even tiny one spark much much anguish therefore stand full solidarity wire best wishes happy new year ” response thank thought good wish well hope new year see great journalism emerge wire stable support reader like § inherent bias mail reader sign ‘ js ’ “ attempt get stick echo chamber seek article website different viewpoint result often come wire say day day get disappoint case point – coverage jammu kashmir terrorist attack read “ civilians kill ” hindus die terrorist attack equally traumatise muslims die hand hindu mob yet call one incidence “ civilian dead ” incident “ lynch ” coverage differs two way first coverage hindu victim muslim hand impersonal possible second play religious nature crime one man hit another real motivation know criminal rest mere guess muslim man die hand hindu would call emotionally charge word like “ lynch ” would ask modi ’ blood case ’ mention islam much possible motivation may noble like stop right wing use stoke tension protect muslim minority backfire care protect muslims vulnerable minority perfectly comfortable criticize brahmins even minor minority without worry would cascade something serious ’ another point … hindu community experience serious anxiety time kashmir genocide medium turn blind eye foundation today ’ bjp victory lay today ’ bias coverage attack hindus lay foundation something sinister future liberal beefeating atheist want society religion equal want discussion caste system problem hinduism also want discussion radicalisation muslims problem islam yes much serious problem islam need ponder hindu terrorist pakistan refuse notion anyone want point fault islam must intention send muslims gas chamber subscribe notion act enablers radical grave injustice moderate muslims likely future victim radical response fair degree generalisation js ’ view wire never call “ modi ’ blood ” please ’ impute ugly sentiment news portal would urge reading recent piece wire carry ‘ time move away absurd narratives violence j k ’ january writer observe “ instead ask ‘ killer ’ ‘ kill ’ reality person kill need recognise mourn collectively community jammu kashmir ” would fact fair summation wire would also view killing however thanks due js effort critique wire ’ reportage hope counterarguments also carry conviction writer § rescind ban woman attend university dr roshmi goswami cochairperson dr p saravanamuttu bureau member south asians human rights sahr “ sahr vehemently condemn decision taliban ban woman attend university december ministry higher education islamic emirate afghanistan release statement sign sheik neda mohammed nadim minister higher education order public private university immediately suspend woman attend university notice “ sahr observe taliban systematically deprive woman girl child right freedom include right mobility right education since taliban take governance afghanistan august suspension university attendance flagrant violation basic right promote human achieve full capacity attain high standard dignified life due impudent decision taliban sahr concern irrevocable multifaceted damage would inflict upon woman girl well whole population country year come ” “ taliban seem retract promise pledge make world take administration afghanistan legitimacy still recognise global level turn situation impact quite negatively people afghanistan strive survive face multiple crisis many level “ therefore sahr firmly urge taliban rescind ban woman attend university immediately provide girl secondary education well islam recognise education right duty every individual muslim society afghanistan state party international covenant economic social cultural rights therefore internationally oblige preserve right freedom people enshrine constitution… ” tweet watch tweet jayashankar kenath catch eye “ godimedia need understand medium withstand pressure ruling dispensation will…the wire one example ” write ombudsperson thewirein,Fake
